Tipo gestione,Tipologia di Area (valore in MQ),Metri Quadri
Gestione Comunale,Aree naturali protette,35323
Gestione Comunale,Ville giardini e parchi,857868
Gestione Comunale,Parchi (giardini e ville) urbani,6143523
Gestione Comunale,Verde attrezzato,6589932
Gestione Comunale,Aree di arredo urbano,3453984
Gestione Comunale,Forestazione urbana,212068
Gestione Comunale,Giardini scolastici comunali ,1357814
Gestione Comunale,Orti botanici,45684
Gestione Comunale,Orti urbani,5723
Gestione Comunale,Cimiteri,665670
Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,125772
Gestione Comunale,Altre tipologie di verde urbano,372020
Gestione di altri enti pubblici,Aree naturali protette,0
Gestione di altri enti pubblici,Ville giardini e parchi,9919
Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4215107
Gestione di altri enti pubblici,Verde attrezzato,566188
Gestione di altri enti pubblici,Aree di arredo urbano,94315
Gestione di altri enti pubblici,Forestazione urbana,0
Gestione di altri enti pubblici,Giardini scolastici comunali ,29847
Gestione di altri enti pubblici,Orti botanici,0
Gestione di altri enti pubblici,Orti urbani,75119
Gestione di altri enti pubblici,Cimiteri,0
Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,54409
Gestione di altri enti pubblici,Altre tipologie di verde urbano,118744
